className,start,end,type,group,content,act,census
act,"2017, 12, 23",,box,0,Act 2017,,
act,"2013, 3, 20",,box,0,Act 2013,,
act,"2009, 2, 24",,box,0,Act 2009,,
act,"2005, 7, 9",,box,0,Act 2005,,
act,"1998, 6, 16",,box,0,Act 1998,,
act,"1995, 7, 25",,box,0,Act 1995,,
act,"1990, 12, 26",,box,0,Act 1990,,
act,"1983, 12, 14",,box,0,Act 1983,,
act,"1980, 7, 1",,box,0,Act 1980,,
act,"1974, 5, 7",,box,0,Act 1974,,
act,"1969, 3, 26",,box,0,Act 1969,,
act,"1961, 7, 14",,box,0,Act 1961,,
act,"1959, 11, 26",,box,0,Act 1959,,
act,"1947, 11, 27",,box,0,Act 1947,,
act,"1943, 1, 1",,box,0,Act 1943,,
act,"1935, 2, 27",,box,0,Act 1935,,
act,"1923, 4, 17",,box,0,Act 1923,,
census,"2016, 4, 24","2016, 7, 14",range,1,Census 2016,,
census,"2011, 4, 10","2012, 4, 26",range,1,Census 2011,,
census,"2006, 4, 23","2007, 4, 26",range,1,Census 2006,,
census,"2002, 4, 28","2003, 7, 31",range,1,Census 2002,,
census,"1996, 4, 28","1999, 12, 31",range,1,Census 1996,,
census,"1991, 4, 21","1993, 6, 30",range,1,Census 1991,,
census,"1986, 4, 13","1988, 6, 30",range,1,Census 1986,,
census,"1981, 4, 5","1982, 9, 30",range,1,Census 1981,,
census,"1979, 4, 1","1980, 2, 28",range,1,Census 1979,,
census,"1971, 4, 18","1972, 7, 31",range,1,Census 1971,,
census,"1966, 4, 17","1967, 12, 31",range,1,Census 1966,,
census,"1961, 4, 9","1963, 12, 31",range,1,Census 1961,,
census,"1956, 4, 8","1957, 12, 31",range,1,Census 1956,,
census,"1951, 4, 8","1952, 12, 31",range,1,Census 1951,,
census,"1946, 5, 12","1950, 6, 13",range,1,Census 1946,,
census,"1936, 4, 26","1938, 4, 1",range,1,Census 1936,,
census,"1926, 4, 18","1928, 12, 31",range,1,Census 1926,,
dail,"2016, 3, 10",,range,1,32nd Dáil,,
dail,"2011, 3, 9","2016, 2, 3",range,1,31st Dáil,,
dail,"2007, 6, 14","2011, 2, 1",range,1,30th Dáil,,
dail,"2002, 6, 6","2007, 4, 26",range,1,29th Dáil,,
dail,"1997, 6, 26","2002, 4, 25",range,1,28th Dáil,,
dail,"1992, 12, 14","1997, 5, 15",range,1,27th Dáil,,
dail,"1989, 6, 29","1992, 11, 5",range,1,26th Dáil,,
dail,"1987, 3, 10","1989, 5, 25",range,1,25th Dáil,,
dail,"1982, 12, 14","1987, 1, 20",range,1,24th Dáil,,
dail,"1982, 3, 9","1982, 11, 4",range,1,23rd Dáil,,
dail,"1981, 6, 30","1982, 1, 27",range,1,22nd Dáil,,
dail,"1977, 7, 5","1981, 5, 21",range,1,21st Dáil,,
dail,"1973, 3, 14","1977, 5, 25",range,1,20th Dáil,,
dail,"1969, 7, 2","1973, 2, 5",range,1,19th Dáil,,
dail,"1965, 4, 21","1969, 5, 22",range,1,18th Dáil,,
dail,"1961, 10, 11","1965, 3, 18",range,1,17th Dáil,,
dail,"1957, 3, 20","1961, 9, 8",range,1,16th Dáil,,
dail,"1954, 6, 2","1957, 2, 4",range,1,15th Dáil,,
dail,"1951, 6, 13","1954, 4, 24",range,1,14th Dáil,,
dail,"1948, 2, 18","1951, 5, 7",range,1,13th Dáil,,
dail,"1944, 6, 9","1948, 1, 12",range,1,12th Dáil,,
dail,"1943, 7, 1","1944, 5, 10",range,1,11th Dáil,,
dail,"1938, 6, 17","1943, 5, 26",range,1,10th Dáil,,
dail,"1937, 7, 21","1938, 5, 25",range,1,9th Dáil,,
dail,"1933, 2, 8","1937, 6, 14",range,1,8th Dáil,,
dail,"1932, 3, 9","1932, 12, 22",range,1,7th Dáil,,
dail,"1927, 10, 11","1931, 12, 17",range,1,6th Dáil,,
effected act-even census-even,"2016, 4, 24",,background,1,,2013,2016
effected act-even census-odd,"2016, 2, 3","2016, 4, 24",background,1,,2013,2011
effected act-odd census-even,"2011, 4, 10","2016, 2, 3",background,1,,2009,2011
effected act-odd census-odd,"2011, 2, 1","2011, 4, 10",background,1,,2009,2006
effected act-even census-even,"2007, 4, 26","2011, 2, 1",background,1,,2005,2006
effected act-odd census-odd,"2006, 4, 23","2007, 4, 26",background,1,,1998,2006
effected act-odd census-even,"2002, 4, 28","2006, 4, 23",background,1,,1998,2002
effected act-odd census-even,"2002, 4, 25","2002, 4, 28",background,1,,1998,1996
effected act-even census-even,"1997, 5, 15","2002, 4, 25",background,1,,1995,1996
effected act-odd census-odd,"1996, 4, 28","1997, 5, 15",background,1,,1990,1996
effected act-odd census-even,"1992, 11, 5","1996, 4, 28",background,1,,1990,1991
effected act-even census-odd,"1991, 4, 21","1992, 11, 5",background,1,,1983,1991
effected act-even census-even,"1987, 1, 20","1991, 4, 21",background,1,,1983,1986
effected act-odd census-odd,"1986, 4, 13","1987, 1, 20",background,1,,1980,1986
effected act-odd census-even,"1981, 5, 21","1986, 4, 13",background,1,,1980,1981
effected act-even census-odd,"1981, 4, 5","1981, 5, 21",background,1,,1974,1981
effected act-even census-even,"1979, 4, 1","1981, 4, 5",background,1,,1974,1979
effected act-even census-odd,"1977, 5, 25","1979, 4, 1",background,1,,1974,1971
effected act-odd census-even,"1971, 4, 18","1977, 5, 25",background,1,,1969,1971
effected act-odd census-odd,"1969, 5, 22","1971, 4, 18",background,1,,1969,1966
effected act-even census-even,"1966, 4, 17","1969, 5, 22",background,1,,1961,1966
effected act-even census-odd,"1961, 9, 8","1966, 4, 17",background,1,,1961,1961
effected act-odd census-even,"1961, 4, 9","1961, 9, 8",background,1,,1947,1961
effected act-odd census-odd,"1956, 4, 8","1961, 4, 9",background,1,,1947,1956
effected act-odd census-even,"1951, 4, 8","1956, 4, 8",background,1,,1947,1951
effected act-odd census-odd,"1948, 1, 12","1951, 4, 8",background,1,,1947,1946
effected act-even census-even,"1946, 5, 12","1948, 1, 12",background,1,,1943,1946
effected act-even census-odd,"1937, 6, 14","1946, 5, 12",background,1,,1935,1936
effected act-odd census-even,"1936, 4, 26","1937, 6, 14",background,1,,1923,1936
enacted act-odd census-odd,"2017, 12, 23",,background,0,,2017,2016
enacted act-even census-even,"2016, 4, 24","2017, 12, 23",background,0,,2013,2016
enacted act-even census-odd,"2013, 3, 20","2016, 4, 24",background,0,,2013,2011
enacted act-odd census-even,"2011, 4, 10","2013, 3, 20",background,0,,2009,2011
enacted act-odd census-odd,"2009, 2, 24","2011, 4, 10",background,0,,2009,2006
enacted act-even census-even,"2006, 4, 23","2009, 2, 24",background,0,,2005,2006
enacted act-even census-odd,"2005, 7, 9","2006, 4, 23",background,0,,2005,2002
enacted act-odd census-even,"2002, 4, 28","2005, 7, 9",background,0,,1998,2002
enacted act-odd census-odd,"1998, 6, 16","2002, 4, 28",background,0,,1998,1996
enacted act-even census-even,"1996, 4, 28","1998, 6, 16",background,0,,1995,1996
enacted act-even census-odd,"1995, 7, 25","1996, 4, 28",background,0,,1995,1991
enacted act-odd census-even,"1991, 4, 21","1995, 7, 25",background,0,,1990,1991
enacted act-odd census-odd,"1990, 12, 26","1991, 4, 21",background,0,,1990,1986
enacted act-even census-even,"1986, 4, 13","1990, 12, 26",background,0,,1983,1986
enacted act-even census-odd,"1983, 12, 14","1986, 4, 13",background,0,,1983,1981
enacted act-odd census-even,"1981, 4, 5","1983, 12, 14",background,0,,1980,1981
enacted act-odd census-odd,"1980, 7, 1","1981, 4, 5",background,0,,1980,1979
enacted act-even census-even,"1979, 4, 1","1980, 7, 1",background,0,,1974,1979
enacted act-even census-odd,"1974, 5, 7","1979, 4, 1",background,0,,1974,1971
enacted act-odd census-even,"1971, 4, 18","1974, 5, 7",background,0,,1969,1971
enacted act-odd census-odd,"1969, 3, 26","1971, 4, 18",background,0,,1969,1966
enacted act-even census-even,"1966, 4, 17","1969, 3, 26",background,0,,1961,1966
enacted act-even census-odd,"1961, 7, 14","1966, 4, 17",background,0,,1961,1961
enacted NEVER-EFFECTED,"1961, 4, 9","1961, 7, 14",background,0,,1959,1961
enacted NEVER-EFFECTED,"1959, 11, 26","1961, 4, 9",background,0,,1959,1956
enacted act-odd census-odd,"1956, 4, 8","1959, 11, 26",background,0,,1947,1956
enacted act-odd census-even,"1951, 4, 8","1956, 4, 8",background,0,,1947,1951
enacted act-odd census-odd,"1947, 11, 27","1951, 4, 8",background,0,,1947,1946
enacted act-even census-even,"1946, 5, 12","1947, 11, 27",background,0,,1935,1946
enacted act-even census-odd,"1936, 4, 26","1946, 5, 12",background,0,,1935,1936
enacted act-even census-even,"1935, 2, 27","1936, 4, 26",background,0,,1935,1926
exec,"2017, 6, 14",,range,0,31st Government,,
exec,"2016, 5, 6","2017, 6, 14",range,0,30th Government,,
exec,"2016, 3, 10","2016, 5, 6",range,0,Caretaker Gvt,,
exec,"2011, 3, 9","2016, 3, 10",range,0,29th Government,,
exec,"2008, 5, 7","2011, 3, 9",range,0,28th Government,,
exec,"2007, 6, 14","2008, 5, 7",range,0,27th Government,,
exec,"2002, 6, 6","2007, 6, 14",range,0,26th Government,,
exec,"1997, 6, 26","2002, 6, 6",range,0,25th Government,,
exec,"1994, 12, 15","1997, 6, 26",range,0,24th Government,,
exec,"1993, 1, 12","1994, 12, 15",range,0,23rd Government,,
exec,"1992, 2, 11","1993, 1, 12",range,0,22nd Government,,
exec,"1989, 7, 12","1992, 2, 11",range,0,21st Government,,
exec,"1987, 3, 10","1989, 7, 12",range,0,20th Government,,
exec,"1982, 12, 14","1987, 3, 10",range,0,19th Government,,
exec,"1982, 3, 9","1982, 12, 14",range,0,18th Government,,
exec,"1981, 6, 30","1982, 3, 9",range,0,17th Government,,
exec,"1979, 12, 11","1981, 6, 30",range,0,16th Government,,
exec,"1977, 7, 5","1979, 12, 11",range,0,15th Government,,
exec,"1973, 3, 14","1977, 7, 5",range,0,14th Government,,
exec,"1969, 7, 2","1973, 3, 14",range,0,13th Government,,
exec,"1966, 11, 10","1969, 7, 2",range,0,12th Government,,
exec,"1965, 4, 21","1966, 11, 10",range,0,11th Government,,
exec,"1961, 10, 11","1965, 4, 21",range,0,10th Government,,
exec,"1959, 6, 23","1961, 10, 11",range,0,9th Government,,
exec,"1957, 3, 20","1959, 6, 23",range,0,8th Government,,
exec,"1954, 6, 2","1957, 3, 20",range,0,7th Government,,
exec,"1951, 6, 13","1954, 6, 2",range,0,6th Government,,
exec,"1948, 2, 18","1951, 6, 13",range,0,5th Government,,
exec,"1944, 6, 9","1948, 2, 18",range,0,4th Government,,
exec,"1943, 7, 1","1944, 6, 9",range,0,3rd Government,,
exec,"1938, 6, 30","1943, 7, 1",range,0,2nd Government,,
exec,"1937, 12, 29","1938, 6, 30",range,0,1st Government,,
exec,"1937, 7, 21","1937, 12, 29",range,0,8th Executive Council,,
